url,type,archived_url
http://www.pashminaonline.com/pure-pashminas,defacement,http://web.archive.org/web/20140316181757/http://www.pashminaonline.com:80/pure-pashminas
http://larcadelcarnevale.com/catalogo/palloncini,defacement,http://web.archive.org/web/20130210052451/http://www.larcadelcarnevale.com:80/catalogo/palloncini
http://www.vnic.co/khach-hang.html,defacement,http://web.archive.org/web/20220608102135/http://vnic.co/khach-hang.html
http://www.raci.it/component/user/reset.html,defacement,http://web.archive.org/web/20130216121954/http://www.raci.it:80/component/user/reset.html
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement,http://web.archive.org/web/20171104102424/http://www.earth-sure.com:80/industrial-tech/everlast-impact-resistant-dumpster-enclosure
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement,http://web.archive.org/web/20120721061413/http://www.newtec.ac.uk:80/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html
http://www.kingsmillshotel.com/spring/mothers-day,defacement,http://web.archive.org/web/20110307093436/http://www.kingsmillshotel.com:80/spring/mothers-day
retajconsultancy.com,phishing,http://web.archive.org/web/20220429065438/https://retajconsultancy.com/
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement,http://web.archive.org/web/20140809181249/http://asociacionkaribu.org/index.php/servicios/centro-jambo
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement,http://web.archive.org/web/20161013194808/http://gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka
halkbankparaf-para.com,phishing,http://web.archive.org/web/20180806003900/http://halkbankparaf-para.com/
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement,http://web.archive.org/web/20120312184835/http://www.aba-diagnostic.com/espace-prive/reset.html
corporacionrossenditotours.com,phishing,http://web.archive.org/web/20210608174402/http://www.corporacionrossenditotours.com/
http://www.clinicatecma.es/index.php/densiometria,defacement,http://web.archive.org/web/20120620113519/http://www.clinicatecma.es/index.php/densiometria
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement,http://web.archive.org/web/20120410231033/http://www.perthshire-caravans.co.uk:80/stock-list/caravans/706-elddis-odyssey-540
detkreimeier-fotografie.de,phishing,http://web.archive.org/web/20230602054401/https://detkreimeier-fotografie.de/
http://listovka.info/xmap.html,defacement,http://web.archive.org/web/20130915010328/http://listovka.info/xmap.html
myptccash.com,phishing,http://web.archive.org/web/20161010003056/http://myptccash.com/
http://www.elektro-vozila.si/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije,defacement,http://web.archive.org/web/20121118201200/http://www.elektro-vozila.si:80/motocikli/novice/volta-bcn-city-je-elektricni-mestni-supermoto-iz-spanije
http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010,defacement,http://web.archive.org/web/20160826040552/http://fischereiverein.org/bildergalerie/category/45-faenge-oktober-2010
http://www.expatsalon.ru/index.php/2009-03-04-07-22-09/category/7-.html?start=20,defacement,http://web.archive.org/web/20100705141414/http://www.expatsalon.ru:80/index.php/2009-03-04-07-22-09/category/7-.html?start=20
http://apoiojur.com.br/index.php?%2FTable%2FAdministrativo%2F,defacement,http://web.archive.org/web/20181229084411/http://apoiojur.com.br/index.php?/Table/Administrativo/
http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin,defacement,http://web.archive.org/web/20130102234807/http://www.steffen-lemme.de/contact/berliner-buero/besuch-in-berlin
